Year,AnnÈe,ISO,Jurisdiction,Juridiction,Fire size class,Classe de superficie ‡ l'extinction ,Number,Data Qualifier,Nombre,Qualificatifs de donnÈes
2012,2012,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",304,a,304,a
2012,2012,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",106,a,106,a
2012,2012,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,7,a,7,a
2012,2012,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",39,a,39,a
2012,2012,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",18,a,18,a
2012,2012,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,16,a,16,a
2012,2012,AB,Alberta,Alberta,Over 100 000,Over 100 000,1,a,1,a
2012,2012,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",1114,a,1114,a
2013,2013,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",184,a,184,a
2013,2013,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",78,a,78,a
2013,2013,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",34,a,34,a
2013,2013,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",9,a,9,a
2013,2013,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,3,a,3,a
2013,2013,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",910,a,910,a
2014,2014,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",280,a,280,a
2014,2014,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",119,a,119,a
2014,2014,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",40,a,40,a
2014,2014,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",6,a,6,a
2014,2014,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,4,a,4,a
2014,2014,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",1002,a,1002,a
2015,2015,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",412,a,412,a
2015,2015,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",175,a,175,a
2015,2015,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,16,a,16,a
2015,2015,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",74,a,74,a
2015,2015,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",38,a,38,a
2015,2015,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,24,a,24,a
2015,2015,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",1117,a,1117,a
2016,2016,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",322,a,322,a
2016,2016,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",128,a,128,a
2016,2016,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,1,a,1,a
2016,2016,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",41,a,41,a
2016,2016,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",11,a,11,a
2016,2016,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,2,a,2,a
2016,2016,AB,Alberta,Alberta,Over 100 000,Over 100 000,1,a,1,a
2016,2016,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",930,a,930,a
2017,2017,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",248,a,248,a
2017,2017,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",76,a,76,a
2017,2017,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,2,a,2,a
2017,2017,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",42,a,42,a
2017,2017,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",20,a,20,a
2017,2017,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,4,a,4,a
2017,2017,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",852,a,852,a
2018,2018,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",278,a,278,a
2018,2018,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",115,a,115,a
2018,2018,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",54,a,54,a
2018,2018,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",13,a,13,a
2018,2018,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,15,a,15,a
2018,2018,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",824,a,824,a
2019,2019,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",208,a,208,a
2019,2019,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",98,a,98,a
2019,2019,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,5,a,5,a
2019,2019,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",36,a,36,a
2019,2019,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",19,a,19,a
2019,2019,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,9,a,9,a
2019,2019,AB,Alberta,Alberta,Over 100 000,Over 100 000,2,a,2,a
2019,2019,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",644,a,644,a
1990,1990,BC,British Columbia,Colombie-Britannique,0.11 - 1.0 ha,"0,11 - 1 ha",666,a,666,a
1990,1990,BC,British Columbia,Colombie-Britannique,1.1 - 10 ha,"1,1 - 10 ha",315,a,315,a
1990,1990,BC,British Columbia,Colombie-Britannique,10 000 - 100 000 ha,10 000 - 100 000 ha,2,a,2,a
1990,1990,BC,British Columbia,Colombie-Britannique,10.1 - 100 ha,"10,1 - 100 ha",122,a,122,a
1990,1990,BC,British Columbia,Colombie-Britannique,100.1 - 1 000 ha,"100,1 - 1 000 ha",40,a,40,a
1990,1990,BC,British Columbia,Colombie-Britannique,1000 - 10 000 ha,1000 - 10 000 ha,10,a,10,a
1990,1990,BC,British Columbia,Colombie-Britannique,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",2100,a,2100,a
1991,1991,BC,British Columbia,Colombie-Britannique,0.11 - 1.0 ha,"0,11 - 1 ha",378,a,378,a
1991,1991,BC,British Columbia,Colombie-Britannique,1.1 - 10 ha,"1,1 - 10 ha",274,a,274,a
1991,1991,BC,British Columbia,Colombie-Britannique,10.1 - 100 ha,"10,1 - 100 ha",80,a,80,a
1991,1991,BC,British Columbia,Colombie-Britannique,100.1 - 1 000 ha,"100,1 - 1 000 ha",27,a,27,a
1991,1991,BC,British Columbia,Colombie-Britannique,1000 - 10 000 ha,1000 - 10 000 ha,5,a,5,a
1991,1991,BC,British Columbia,Colombie-Britannique,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",1249,a,1249,a
1992,1992,BC,British Columbia,Colombie-Britannique,0.11 - 1.0 ha,"0,11 - 1 ha",722,a,722,a
1992,1992,BC,British Columbia,Colombie-Britannique,1.1 - 10 ha,"1,1 - 10 ha",268,a,268,a
1992,1992,BC,British Columbia,Colombie-Britannique,10.1 - 100 ha,"10,1 - 100 ha",86,a,86,a
1992,1992,BC,British Columbia,Colombie-Britannique,100.1 - 1 000 ha,"100,1 - 1 000 ha",27,a,27,a
1992,1992,BC,British Columbia,Colombie-Britannique,1000 - 10 000 ha,1000 - 10 000 ha,7,a,7,a
1992,1992,BC,British Columbia,Colombie-Britannique,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",2695,a,2695,a
1993,1993,BC,British Columbia,Colombie-Britannique,0.11 - 1.0 ha,"0,11 - 1 ha",234,a,234,a
1993,1993,BC,British Columbia,Colombie-Britannique,1.1 - 10 ha,"1,1 - 10 ha",211,a,211,a
1993,1993,BC,British Columbia,Colombie-Britannique,10.1 - 100 ha,"10,1 - 100 ha",70,a,70,a
1993,1993,BC,British Columbia,Colombie-Britannique,100.1 - 1 000 ha,"100,1 - 1 000 ha",9,a,9,a
