Year,AnnÈe,ISO,Jurisdiction,Juridiction,Fire size class,Classe de superficie ‡ l'extinction ,Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de donnÈes
1991,1991,BC,British Columbia,Colombie-Britannique,1.1 - 10 ha,"1,1 - 10 ha",1063.8,a,1063.8,a
1991,1991,BC,British Columbia,Colombie-Britannique,10.1 - 100 ha,"10,1 - 100 ha",3185.4,a,3185.4,a
1991,1991,BC,British Columbia,Colombie-Britannique,100.1 - 1 000 ha,"100,1 - 1 000 ha",7551,a,7551,a
1991,1991,BC,British Columbia,Colombie-Britannique,1000 - 10 000 ha,1000 - 10 000 ha,12652.4,a,12652.4,a
1991,1991,BC,British Columbia,Colombie-Britannique,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",81.2,a,81.2,a
1992,1992,BC,British Columbia,Colombie-Britannique,0.11 - 1.0 ha,"0,11 - 1 ha",314.9,a,314.9,a
1992,1992,BC,British Columbia,Colombie-Britannique,1.1 - 10 ha,"1,1 - 10 ha",890.9,a,890.9,a
1992,1992,BC,British Columbia,Colombie-Britannique,10.1 - 100 ha,"10,1 - 100 ha",2701.8,a,2701.8,a
1992,1992,BC,British Columbia,Colombie-Britannique,100.1 - 1 000 ha,"100,1 - 1 000 ha",7853.7,a,7853.7,a
1992,1992,BC,British Columbia,Colombie-Britannique,1000 - 10 000 ha,1000 - 10 000 ha,18537.2,a,18537.2,a
1992,1992,BC,British Columbia,Colombie-Britannique,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",154.3,a,154.3,a
1993,1993,BC,British Columbia,Colombie-Britannique,0.11 - 1.0 ha,"0,11 - 1 ha",113.4,a,113.4,a
1993,1993,BC,British Columbia,Colombie-Britannique,1.1 - 10 ha,"1,1 - 10 ha",787.2,a,787.2,a
1993,1993,BC,British Columbia,Colombie-Britannique,10.1 - 100 ha,"10,1 - 100 ha",2253.4,a,2253.4,a
1993,1993,BC,British Columbia,Colombie-Britannique,100.1 - 1 000 ha,"100,1 - 1 000 ha",1972.4,a,1972.4,a
